iter	Passed	Remaining
0	0	93
1	1	82
2	2	78
3	3	73
4	3	72
5	4	70
6	5	68
7	5	67
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	12	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	55
22	16	54
23	17	54
24	17	53
25	18	52
26	19	52
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	29	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
